model,seed,components,quantile,file_id,scored_points,anomaly_points,threshold,average_precision,auroc,point_precision,point_recall,point_f1,tp,fp,tn,fn,reference_event_count,predicted_event_count,matched_reference_event_count,matched_predicted_event_count,missed_reference_event_count,false_predicted_event_count,overlap_event_precision,overlap_event_recall,overlap_event_f1,duration_precision,duration_recall,duration_f1,mean_reference_coverage,median_reference_coverage,mean_fragments_per_reference,false_alarm_events_per_normal_hour,median_detection_delay_seconds,detection_delay_iqr_seconds,events_covered_10pct,events_missed_10pct,event_recall_10pct,events_covered_50pct,events_missed_50pct,event_recall_50pct
full,17,representation+reconstruction+prediction,0.99,test1,43074,629,2.852345943450928,0.716386129697177,0.9625085938391046,0.0850694444444444,0.9348171701112876,0.1559474870706803,588,6324,36121,41,5,1395,5,5,0,1390,0.003584229390681,1.0,0.0071428571428571,0.0850694444444444,0.9348171701112876,0.1559474870706803,0.9283474335920056,0.9550561797752808,1.0,117.89374484627164,4.0,13.0,5,0,1.0,5,0,1.0
full,17,representation+reconstruction+prediction,0.99,test2,118674,3449,2.852345943450928,0.4413634159855127,0.8749458372474694,0.1045153756325418,0.7784865178312554,0.184289097086379,2685,23005,92220,764,20,2618,20,20,0,2598,0.0076394194041252,1.0,0.0151630022744503,0.1045153756325418,0.7784865178312554,0.184289097086379,0.7621344268374346,0.8771954279342069,3.55,81.16988500759385,19.5,34.25,19,1,0.95,16,4,0.8
full,17,representation+reconstruction+prediction,0.99,test3,107874,1535,2.852345943450928,0.6607660717971182,0.9610741573726188,0.0922787193973634,0.8938110749185668,0.1672864719868317,1372,13496,92843,163,8,1459,8,8,0,1451,0.0054832076764907,1.0,0.0109066121336059,0.0922787193973634,0.8938110749185668,0.1672864719868317,0.8957106028548323,0.986935866983373,3.875,49.12214709560932,0.0,1.5,8,0,1.0,8,0,1.0
full,17,representation+reconstruction+prediction,0.99,test4,39474,1157,2.852345943450928,0.4212533135762993,0.8231542225571338,0.0355355199751282,0.9878997407087294,0.0686033251305443,1143,31022,7295,14,5,1533,5,5,0,1528,0.0032615786040443,1.0,0.0065019505851755,0.0355355199751282,0.9878997407087294,0.0686033251305443,0.9891446775259964,1.0,1.8,143.56029960591903,0.0,9.0,5,0,1.0,5,0,1.0
full,17,representation+reconstruction+prediction,0.99,test5,92274,2177,2.852345943450928,0.5826353600611215,0.9213051187637208,0.0515022540106278,0.9393661001378044,0.0976506541877566,2045,37662,52435,132,12,2805,12,12,0,2793,0.0042780748663101,1.0,0.0085197018104366,0.0515022540106278,0.9393661001378044,0.0976506541877566,0.947589244042153,0.9865524587253685,2.4166666666666665,111.59972030145288,0.0,3.25,12,0,1.0,12,0,1.0
full,17,representation+reconstruction+prediction,0.9925,test1,43074,629,3.13295316696167,0.716386129697177,0.9625085938391046,0.1060140870507495,0.9332273449920508,0.1903989620499513,587,4950,37495,42,5,929,5,5,0,924,0.0053821313240043,1.0,0.0107066381156316,0.1060140870507495,0.9332273449920508,0.1903989620499513,0.9263066172654753,0.9550561797752808,1.0,78.36965484744964,4.0,13.0,5,0,1.0,5,0,1.0
full,17,representation+reconstruction+prediction,0.9925,test2,118674,3449,3.13295316696167,0.4413634159855127,0.8749458372474694,0.1153251799196432,0.7573209625978544,0.2001685952946586,2612,20037,95188,837,20,2266,20,20,0,2246,0.0088261253309797,1.0,0.0174978127734033,0.1153251799196432,0.7573209625978544,0.2001685952946586,0.7418123786332451,0.8640527300967781,3.65,70.17227164243872,21.5,36.5,19,1,0.95,16,4,0.8
full,17,representation+reconstruction+prediction,0.9925,test3,107874,1535,3.13295316696167,0.6607660717971182,0.9610741573726188,0.0992807889078371,0.8723127035830619,0.1782718679270403,1339,12148,94191,196,8,1134,8,8,0,1126,0.0070546737213403,1.0,0.0140105078809106,0.0992807889078371,0.8723127035830619,0.1782718679270403,0.8725129395312433,0.985748218527316,2.75,38.11959864207864,0.0,1.5,8,0,1.0,7,1,0.875
full,17,representation+reconstruction+prediction,0.9925,test4,39474,1157,3.13295316696167,0.4212533135762993,0.8231542225571338,0.0371025893149786,0.9783923941227312,0.0714939842738497,1132,29378,8939,25,5,1622,5,5,0,1617,0.00308261405672,1.0,0.0061462814996926,0.0371025893149786,0.9783923941227312,0.0714939842738497,0.9806756025725792,1.0,2.4,151.92212333950988,0.0,12.0,5,0,1.0,5,0,1.0
full,17,representation+reconstruction+prediction,0.9925,test5,92274,2177,3.13295316696167,0.5826353600611215,0.9213051187637208,0.0556045409456629,0.926963711529628,0.1049156463646052,2018,34274,55823,159,12,2581,12,12,0,2569,0.0046493607129019,1.0,0.0092556883918241,0.0556045409456629,0.926963711529628,0.1049156463646052,0.9378453234203612,0.9846440617788036,2.333333333333333,102.64936679356693,0.0,3.25,12,0,1.0,12,0,1.0
full,17,representation+reconstruction+prediction,0.995,test1,43074,629,3.5485594272613525,0.716386129697177,0.9625085938391046,0.1342358880220284,0.9300476947535772,0.234609985963505,585,3773,38672,44,5,559,5,5,0,554,0.0089445438282647,1.0,0.0177304964539007,0.1342358880220284,0.9300476947535772,0.234609985963505,0.9232131693599972,0.9550561797752808,1.4,46.98786665096007,4.0,15.0,5,0,1.0,5,0,1.0
full,17,representation+reconstruction+prediction,0.995,test2,118674,3449,3.5485594272613525,0.4413634159855127,0.8749458372474694,0.1318050065876153,0.7251377210785735,0.2230645736710667,2501,16474,98751,948,20,1868,20,20,0,1848,0.0107066381156316,1.0,0.021186440677966,0.1318050065876153,0.7251377210785735,0.2230645736710667,0.7140677083166805,0.8152387391738305,3.15,57.73747016706445,22.0,27.0,18,2,0.9,16,4,0.8
full,17,representation+reconstruction+prediction,0.995,test3,107874,1535,3.5485594272613525,0.6607660717971182,0.9610741573726188,0.1092310269726922,0.8495114006514658,0.1935723298448749,1304,10634,95705,231,8,857,8,8,0,849,0.0093348891481913,1.0,0.0184971098265895,0.1092310269726922,0.8495114006514658,0.1935723298448749,0.8484307287899924,0.977164473601528,2.625,28.742041960146324,0.0,3.0,8,0,1.0,6,2,0.75
full,17,representation+reconstruction+prediction,0.995,test4,39474,1157,3.5485594272613525,0.4212533135762993,0.8231542225571338,0.0399145451308527,0.9688850475367328,0.0766705423705628,1121,26964,11353,36,5,1672,5,5,0,1667,0.0029904306220095,1.0,0.0059630292188431,0.0399145451308527,0.9688850475367328,0.0766705423705628,0.9721103564344532,1.0,3.6,156.6197771224261,0.0,12.0,5,0,1.0,5,0,1.0
full,17,representation+reconstruction+prediction,0.995,test5,92274,2177,3.5485594272613525,0.5826353600611215,0.9213051187637208,0.0620448223048791,0.911805236564079,0.1161837869476148,1985,30008,60089,192,12,2251,12,12,0,2239,0.0053309640159928,1.0,0.0106053910737958,0.0620448223048791,0.911805236564079,0.1161837869476148,0.9244300949498152,0.9783078880407124,2.25,89.46357814355639,0.0,3.25,12,0,1.0,12,0,1.0
full,17,representation+reconstruction+prediction,0.9975,test1,43074,629,4.401556491851807,0.716386129697177,0.9625085938391046,0.1816461684011353,0.9157392686804452,0.303157894736842,576,2595,39850,53,5,277,5,5,0,272,0.0180505415162454,1.0,0.0354609929078014,0.1816461684011353,0.9157392686804452,0.303157894736842,0.906822191916388,0.9550561797752808,1.4,23.069855106608557,4.0,16.0,5,0,1.0,5,0,1.0
full,17,representation+reconstruction+prediction,0.9975,test2,118674,3449,4.401556491851807,0.4413634159855127,0.8749458372474694,0.1684684031052746,0.6732386198898231,0.2694986072423398,2322,11461,103764,1127,20,1262,18,18,2,1244,0.0142630744849445,0.9,0.0280811232449297,0.1684684031052746,0.6732386198898231,0.2694986072423398,0.668084644592103,0.7287903667214013,3.1,38.86656541549143,22.0,37.75,18,2,0.9,16,4,0.8
full,17,representation+reconstruction+prediction,0.9975,test3,107874,1535,4.401556491851807,0.6607660717971182,0.9610741573726188,0.1318234004801169,0.8228013029315961,0.2272400143936668,1263,8318,98021,272,8,600,8,8,0,592,0.0133333333333333,1.0,0.0263157894736842,0.1318234004801169,0.8228013029315961,0.2272400143936668,0.8223866710243684,0.9612780028876158,1.625,20.04156518304667,0.5,11.25,8,0,1.0,6,2,0.75
full,17,representation+reconstruction+prediction,0.9975,test4,39474,1157,4.401556491851807,0.4212533135762993,0.8231542225571338,0.0462355379036435,0.9256698357821952,0.0880720365116566,1071,22093,16224,86,5,1646,5,5,0,1641,0.0030376670716889,1.0,0.0060569351907934,0.0462355379036435,0.9256698357821952,0.0880720365116566,0.9305468627693416,0.975,4.6,154.17699715530966,7.0,17.0,5,0,1.0,5,0,1.0
full,17,representation+reconstruction+prediction,0.9975,test5,92274,2177,4.401556491851807,0.5826353600611215,0.9213051187637208,0.0771527721733516,0.8782728525493799,0.1418450239252198,1912,22870,67227,265,12,1705,12,12,0,1693,0.0070381231671554,1.0,0.0139778683750728,0.0771527721733516,0.8782728525493799,0.1418450239252198,0.8956570802260599,0.9561068702290076,2.0,67.6470914680844,1.5,7.5,12,0,1.0,12,0,1.0
